orf_id	5F	1C	4A	8H	2G	8G	5L	2K	6F	3D	7B
CNAG_07532	5.65347499	6.015215936	6.108862041	5.943482149	6.198415392	5.73467939	5.870161231	5.827462447	5.924723815	5.858863978	5.976962428
CNAG_07533	5.603649681	5.774633346	5.976793862	6.203308646	5.640968001	5.266197835	4.610474356	5.128792632	4.42859813	4.63137797	4.787404712
CNAG_07534	6.717544339	6.643696129	6.676361016	6.502830328	6.749791824	6.754034368	6.780502941	6.841432484	6.962455511	6.787220859	6.824275486
CNAG_07535	5.412389203	5.215018111	4.973839882	4.621923733	5.469110923	5.625371774	5.909624894	6.008761763	5.803687719	5.948486167	5.877933994
CNAG_07536	5.227369444	4.886755201	4.62001281	4.085080511	5.540328601	6.064904087	6.060003832	5.938951587	6.310411204	6.408954649	6.330506894
CNAG_07537	3.684506852	4.055393861	3.478781683	3.040560682	4.136250334	4.8991387	5.074555827	4.79648058	5.182060836	5.233971096	5.088685715
CNAG_07538	8.937753306	8.995267012	9.131576343	9.302014967	8.703728275	7.856636402	7.665962136	7.754627111	7.504659654	7.526605481	7.431258059
CNAG_07539	6.500573188	6.029595749	5.714212981	5.849376588	6.43793235	6.731792162	6.75751344	6.675344771	7.091286696	6.964343965	6.869337067
CNAG_07540	7.260322061	8.099468465	7.946063742	7.586563175	8.300735283	7.004857947	7.403065616	7.247802598	7.368729066	7.698499798	7.760931786
CNAG_07541	6.458212099	6.219265259	6.262324277	6.313150031	6.229275202	6.594973039	6.760599955	6.919629656	6.522762325	6.661139632	6.507346236
CNAG_07542	4.024550104	4.358513028	4.348760292	3.788106431	4.362709407	3.807989022	4.136871485	4.141694716	4.194600607	4.333667216	4.303380636
CNAG_07544	3.33961018	3.388364775	4.054530479	3.736462325	3.428511437	2.943424257	2.206547147	2.22461916	2.964507466	2.870648401	2.396672095
CNAG_07545	5.862809605	5.981094931	5.865630846	5.834101855	6.123089229	6.343832383	6.161569496	6.185962732	6.400202499	6.247113504	6.273657943
CNAG_07546	5.178288767	5.312323032	5.279073802	5.060335248	5.635557344	5.287882473	5.597284235	5.737115083	5.555112201	5.638286548	5.637225425
