orf_id	order_peaktime
CNAG_03728	107
CNAG_05468	108
CNAG_03154	378
CNAG_05398	257
CNAG_06860	109
CNAG_04082	110
CNAG_07898	379
CNAG_02270	999
CNAG_02935	258
CNAG_01902	312
CNAG_00239	111
CNAG_04311	772
CNAG_06158	112
CNAG_01385	1000
CNAG_00016	113
CNAG_07873	773
CNAG_02544	114
CNAG_01555	115
CNAG_06531	313
CNAG_03708	774
CNAG_02881	907
CNAG_00934	259
CNAG_05366	260
CNAG_06688	261
CNAG_06183	775
CNAG_00564	1114
CNAG_01533	776
CNAG_03395	1115
CNAG_04950	777
CNAG_01941	380
CNAG_05306	778
CNAG_05430	1116
CNAG_04512	381
CNAG_02494	262
CNAG_02551	1001
CNAG_04026	1002
CNAG_06179	1117
CNAG_06132	382
CNAG_06558	263
CNAG_05552	116
CNAG_07400	117
CNAG_01439	264
CNAG_05890	383
CNAG_05608	1118
CNAG_02090	314
CNAG_06199	118
CNAG_00748	315
CNAG_02506	265
CNAG_00794	908
CNAG_02862	1003
CNAG_05701	1004
CNAG_03836	1005
CNAG_07937	1006
CNAG_03360	266
CNAG_03194	1007
CNAG_05319	384
CNAG_03440	779
CNAG_03436	267
CNAG_01167	119
CNAG_00388	909
CNAG_02553	1008
CNAG_08020	780
CNAG_04008	781
CNAG_00642	385
CNAG_04932	782
CNAG_05717	910
CNAG_07478	783
CNAG_03898	911
CNAG_05795	120
CNAG_01103	121
CNAG_00164	1009
CNAG_00817	316
CNAG_07420	784
CNAG_03282	1119
CNAG_05194	268
CNAG_04861	1120
CNAG_00928	122
CNAG_01243	123
CNAG_02775	269
CNAG_01136	124
CNAG_01165	386
CNAG_01532	785
CNAG_05695	786
CNAG_05899	270
CNAG_04327	1121
CNAG_00126	271
CNAG_06369	787
CNAG_00520	272
CNAG_05327	1122
CNAG_02322	788
CNAG_03014	789
CNAG_01616	125
CNAG_06785	387
CNAG_06403	1123
CNAG_05889	273
CNAG_01294	790
CNAG_02302	1010
CNAG_00641	274
CNAG_06740	791
CNAG_06120	912
CNAG_03827	1124
CNAG_07900	275
CNAG_05314	276
CNAG_07418	792
CNAG_06237	793
CNAG_04086	126
CNAG_00661	794
CNAG_04460	277
CNAG_04234	913
CNAG_02534	127
CNAG_01094	128
CNAG_03191	795
CNAG_00860	796
CNAG_04469	129
CNAG_02371	1011
CNAG_05553	797
CNAG_06230	1012
CNAG_02224	1125
CNAG_03297	798
CNAG_04360	914
CNAG_04492	799
CNAG_05836	1013
CNAG_04498	1126
CNAG_07510	278
CNAG_03404	388
CNAG_04653	130
CNAG_04041	131
CNAG_05532	800
CNAG_02137	801
CNAG_03523	317
CNAG_01289	802
CNAG_01900	389
CNAG_01371	803
CNAG_05321	1127
CNAG_01185	279
CNAG_03811	804
CNAG_05533	805
CNAG_05919	806
CNAG_06665	807
CNAG_01808	132
CNAG_01077	808
CNAG_01644	133
CNAG_07430	318
CNAG_07376	134
CNAG_03583	809
CNAG_02387	135
CNAG_02913	319
CNAG_05423	810
CNAG_05852	1128
CNAG_01431	136
CNAG_01051	1014
CNAG_05805	390
CNAG_00257	280
CNAG_04829	137
CNAG_05165	915
CNAG_06049	811
CNAG_00229	1129
CNAG_05414	812
CNAG_04676	281
CNAG_00893	1130
CNAG_05691	916
CNAG_06703	391
CNAG_05265	917
CNAG_01708	138
CNAG_00428	392
CNAG_03121	813
CNAG_06360	1131
CNAG_06445	1015
CNAG_02268	393
CNAG_04684	1132
CNAG_03646	282
CNAG_02855	918
CNAG_01497	919
CNAG_05038	1133
CNAG_03612	139
CNAG_07757	320
CNAG_02803	814
CNAG_06549	920
CNAG_05888	283
CNAG_04988	1134
CNAG_02100	1016
CNAG_02304	815
CNAG_03925	816
CNAG_04776	140
CNAG_06373	141
CNAG_05342	321
CNAG_04453	817
CNAG_07408	921
CNAG_02981	284
CNAG_06519	818

