"Entry" "orf_id"
"500" "J9VH80" "CNAG_07490"
"501" "J9VHB5" "CNAG_00643"
"502" "J9VN78" "CNAG_01266"
"503" "J9VNU4" "CNAG_01046"
"504" "J9VYR6" "CNAG_01595"
"505" "J9W177" "CNAG_01625"
"506" "J9W1Y0" "CNAG_05587"
"507" "J9VKX5" "CNAG_02601"
"508" "J9VWI1" "CNAG_06375"
"509" "J9VX06" "CNAG_01708"
"510" "J9VWA3" "CNAG_05338"
"511" "J9VPB1" "CNAG_03103"
"512" "J9VTN6" "CNAG_01608"
"513" "J9VVE1" "CNAG_06180"
"514" "W8CET4" "CNAG_02863"
"515" "J9VH78" "CNAG_02930"
"516" "J9VJ47" "CNAG_00493"
"517" "J9VKN2" "CNAG_02708"
"518" "J9VP74" "CNAG_00894"
"519" "J9VQ68" "CNAG_03395"
"520" "J9VM86" "CNAG_02231"
"521" "J9VN22" "CNAG_02710"
"522" "J9VIL0" "CNAG_02658"
"523" "J9VVR0" "CNAG_03479"
"524" "J9VET5" "CNAG_00441"
"525" "J9VLY2" "CNAG_07634"
"526" "J9VJ52" "CNAG_03926"
"527" "J9VMA3" "CNAG_02963"
"528" "J9VNK3" "CNAG_03769"
"529" "T2BNQ9" "CNAG_01009"
"530" "J9VVS4" "CNAG_04723"
"531" "J9VXW5" "CNAG_06021"
"532" "J9VZP4" "CNAG_05466"
"533" "J9VZ82" "CNAG_05342"
"534" "J9VKP8" "CNAG_03684"
"535" "J9VPR6" "CNAG_06870"
"536" "J9VZJ8" "CNAG_01893"
"537" "J9VPB5" "CNAG_04030"
"538" "J9VX24" "CNAG_04454"
"539" "J9VWS6" "CNAG_05851"
"540" "J9VS39" "CNAG_02435"
"541" "J9W1W8" "CNAG_05572"
"542" "J9VXT8" "CNAG_04807"
"543" "J9VZP8" "CNAG_05471"
"544" "J9VHD0" "CNAG_00657"
"545" "J9VS34" "CNAG_05906"
"546" "T2BNR0" "CNAG_05272"
"547" "J9VJQ1" "CNAG_00709"
"548" "J9W0C1" "CNAG_04744"
"549" "J9VKV2" "CNAG_01045"
"550" "J9VLP1" "CNAG_03999"
"551" "J9VHZ0" "CNAG_06799"
"552" "J9W0Z0" "CNAG_01525"
"553" "T2BQ88" "CNAG_00153"
"554" "T2BQ74" "CNAG_00024"
"555" "J9VY08" "CNAG_06072"
"556" "J9VD96" "CNAG_00126"
"557" "J9VNN8" "CNAG_03809"
"558" "J9VV83" "CNAG_04890"
"559" "J9W127" "CNAG_01570"
"560" "J9VX04" "CNAG_05931"
"561" "J9W2B5" "CNAG_06026"
"562" "T2BMM8" "CNAG_02324"
"563" "J9VX76" "CNAG_03092"
"564" "T2BLW2" "CNAG_02996"
"565" "J9VHY1" "CNAG_02654"
"566" "J9VKB4" "CNAG_06751"
"567" "J9VMY9" "CNAG_06557"
"568" "J9VP20" "CNAG_05671"
"569" "J9VVN3" "CNAG_06282"
"570" "J9VW50" "CNAG_06240"
"571" "J9VI81" "CNAG_03607"
"572" "J9VXG9" "CNAG_05512"
"573" "J9VPZ0" "CNAG_02368"
"574" "T2BN40" "CNAG_03519"
"575" "J9VFR1" "CNAG_00772"
"576" "J9VWN4" "CNAG_07938"
"577" "J9VJ77" "CNAG_00523"
"578" "J9VQK6" "CNAG_03317"
"579" "J9VRC6" "CNAG_04272"
"580" "J9VT50" "CNAG_07859"
"581" "J9VR13" "CNAG_04147"
"582" "T2BNR5" "CNAG_05286"
"583" "J9VK83" "CNAG_01270"
"584" "J9W0E1" "CNAG_04713"
"585" "J9VVD3" "CNAG_02145"
"586" "J9VVY5" "CNAG_04646"
"587" "J9W406" "CNAG_05514"
"588" "J9VHW1" "CNAG_00835"
"589" "J9VMW5" "CNAG_06537"
"590" "J9VWX0" "CNAG_05516"
"591" "J9VFP1" "CNAG_03677"
"592" "J9VR53" "CNAG_04180"
"593" "J9VU81" "CNAG_04213"
"594" "J9VUF0" "CNAG_04295"
"595" "J9VJB3" "CNAG_03996"
"596" "J9VNR4" "CNAG_05793"
"597" "J9VLQ0" "CNAG_05106"
"598" "J9VII0" "CNAG_04997"
"599" "J9W0L4" "CNAG_04625"
"600" "J9VTM6" "CNAG_03546"
"601" "J9VMG9" "CNAG_06836"
"602" "J9VX41" "CNAG_05400"
"603" "T2BPC9" "CNAG_03946"
"604" "J9VQR6" "CNAG_06977"
"605" "J9VTP8" "CNAG_04582"
"606" "J9VRV6" "CNAG_02481"
"607" "T2BQS1" "CNAG_03992"
"608" "J9VMC7" "CNAG_05327"
"609" "J9VNB1" "CNAG_01250"
"610" "J9VNV1" "CNAG_06612"
"611" "T2BPG1" "CNAG_04380"
"612" "J9VTD1" "CNAG_01507"
"613" "J9W0Q9" "CNAG_04577"
"614" "J9VMK0" "CNAG_02107"
"615" "J9VSM8" "CNAG_07788"
"616" "J9VV00" "CNAG_03172"
"617" "J9VV43" "CNAG_01933"
"618" "J9W1W9" "CNAG_01904"
"619" "T2BNM6" "CNAG_06074"
"620" "T2BQ05" "CNAG_08021"
"621" "T2BP81" "CNAG_05834"
"622" "J9VP95" "CNAG_00873"
"623" "J9VQU9" "CNAG_02033"
"624" "J9VRT2" "CNAG_04221"
"625" "J9VT39" "CNAG_04817"
"626" "J9VUH8" "CNAG_01921"
"627" "J9VVK8" "CNAG_02069"
"628" "J9VP81" "CNAG_05976"
"629" "J9VVR1" "CNAG_04738"
"630" "J9VW01" "CNAG_04623"
"631" "J9VPD1" "CNAG_05169"
"632" "J9VZX6" "CNAG_04896"
"633" "T2BPL9" "CNAG_04587"
"634" "J9VST8" "CNAG_02135"
"635" "J9VIQ6" "CNAG_05068"
"636" "J9VPJ4" "CNAG_05261"
"637" "J9VQ23" "CNAG_03133"
"638" "T2BNP3" "CNAG_01191"
"639" "J9VN82" "CNAG_02095"
"640" "J9VQ09" "CNAG_03118"
"641" "J9VGS5" "CNAG_03847"
"642" "T2BNH8" "CNAG_05273"
"643" "J9VK11" "CNAG_01338"
"644" "J9VNQ7" "CNAG_01090"
"645" "J9VFI7" "CNAG_00728"
"646" "J9VNZ5" "CNAG_05887"
"647" "J9VRB6" "CNAG_04262"
"648" "J9VWI8" "CNAG_01576"
"649" "J9VTW4" "CNAG_04124"
"650" "J9VXP6" "CNAG_01997"
"651" "J9VHD7" "CNAG_04088"
"652" "J9VMN7" "CNAG_00799"
"653" "J9VT61" "CNAG_06529"
"654" "J9VUV3" "CNAG_04476"
"655" "J9VQ74" "CNAG_07163"
"656" "J9VZ64" "CNAG_04294"
"657" "J9VZY7" "CNAG_06019"
"658" "J9VE17" "CNAG_00409"
"659" "J9VP65" "CNAG_07488"
"660" "J9VW61" "CNAG_06249"
"661" "J9VK16" "CNAG_00793"
"662" "J9VP94" "CNAG_05129"
"663" "J9VWQ8" "CNAG_05831"
"664" "J9VF63" "CNAG_00598"
"665" "J9VN61" "CNAG_02121"
"666" "J9VVV8" "CNAG_04682"
"667" "T2BNX5" "CNAG_01295"
"668" "J9VYV9" "CNAG_01644"
"669" "J9VFN9" "CNAG_00033"
"670" "J9VPM3" "CNAG_03165"
"671" "J9VFS8" "CNAG_00792"
"672" "J9VH48" "CNAG_03983"
